Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
51,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,5,Research Director,3,Single,19537,3,23,5,3,20
52,0,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,259,3,Male,5,Manager,3,Married,19999,3,34,5,3,33
42,0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319,3,Male,5,Manager,4,Married,19232,3,22,3,3,22
47,0,Travel_Rarely,359,Research & Development,2,4,Medical,1,1443,1,Female,4,Research Director,3,Married,17169,3,26,2,4,20
46,0,Travel_Rarely,1319,Sales,3,3,Technical Degree,1,1863,1,Female,4,Sales Executive,1,Divorced,13225,3,25,5,3,19
48,0,Travel_Frequently,117,Research & Development,22,3,Medical,1,1900,4,Female,4,Manager,4,Divorced,17174,3,24,3,3,22
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,3,Sales Executive,1,Single,7637,3,28,3,2,21
42,0,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387,2,Male,2,Sales Executive,3,Married,4907,4,20,3,3,20
41,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,1,625,2,Female,4,Manager,1,Married,16595,3,22,2,3,18
41,0,Travel_Frequently,840,Research & Development,9,3,Medical,1,999,1,Male,5,Research Director,3,Divorced,19419,3,21,2,4,18
41,0,Non-Travel,247,Research & Development,7,1,Life Sciences,1,1035,2,Female,5,Research Director,3,Divorced,19973,4,21,3,3,21
56,0,Travel_Rarely,1369,Research & Development,23,3,Life Sciences,1,1373,4,Male,4,Manufacturing Director,2,Married,13402,3,33,0,3,19
38,0,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,Female,3,Research Director,3,Married,13206,3,20,3,3,18
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,5,Research Director,3,Married,19545,3,23,0,3,22
55,0,Travel_Rarely,692,Research & Development,14,4,Medical,1,254,3,Male,5,Research Director,2,Single,18722,3,36,3,3,24
40,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,5,Manager,3,Married,18041,3,21,2,3,20
58,1,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,4,Male,5,Research Director,2,Single,19246,3,40,2,3,31
46,0,Travel_Rarely,1402,Sales,2,3,Marketing,1,1204,3,Female,4,Manager,1,Married,17048,4,28,2,3,26
35,0,Travel_Rarely,819,Research & Development,18,5,Life Sciences,1,1621,2,Male,2,Research Scientist,1,Married,5208,3,16,2,3,16
40,0,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1628,1,Female,3,Manufacturing Director,3,Married,10435,3,18,2,3,18
45,0,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,1712,3,Male,3,Healthcare Representative,3,Married,10748,4,25,3,2,23
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,3,Research Director,4,Single,13458,3,15,1,3,15
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,3,Healthcare Representative,3,Divorced,10096,3,17,2,3,17
47,0,Travel_Rarely,202,Research & Development,2,2,Other,1,820,3,Female,4,Manager,4,Married,16752,3,26,3,2,26
36,0,Travel_Rarely,928,Sales,1,2,Life Sciences,1,857,2,Male,2,Sales Executive,4,Married,6201,3,18,1,2,18
35,0,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,880,4,Female,3,Manufacturing Director,3,Married,10685,4,17,2,3,17
52,1,Travel_Rarely,266,Sales,2,1,Marketing,1,1038,1,Female,5,Manager,4,Married,19845,3,33,3,3,32
36,0,Travel_Rarely,429,Research & Development,2,4,Life Sciences,1,1294,3,Female,2,Manufacturing Director,2,Single,5410,3,18,2,3,16
33,0,Travel_Rarely,589,Research & Development,28,4,Life Sciences,1,1549,2,Male,2,Laboratory Technician,3,Married,5207,3,15,3,3,15
34,0,Non-Travel,1375,Sales,10,3,Life Sciences,1,1774,4,Male,2,Sales Executive,3,Divorced,4001,3,15,3,3,15
41,0,Travel_Rarely,796,Sales,4,1,Marketing,1,1815,3,Female,3,Sales Executive,3,Divorced,10447,3,23,3,4,22
47,0,Travel_Rarely,1180,Research & Development,25,3,Medical,1,1993,1,Male,3,Healthcare Representative,3,Single,8633,4,25,3,3,17
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,5,Manager,3,Divorced,19094,3,26,3,2,14
35,0,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,2,Sales Executive,1,Single,4312,3,16,2,3,15
34,0,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,2,Research Scientist,3,Single,4809,3,16,3,3,16
46,0,Travel_Rarely,526,Sales,1,2,Marketing,1,244,2,Female,3,Sales Executive,1,Divorced,10453,4,24,2,3,24
43,0,Travel_Rarely,1034,Sales,16,3,Marketing,1,327,4,Female,4,Manager,4,Married,16064,4,22,3,3,17
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,373,4,Male,1,Laboratory Technician,4,Married,3210,3,16,4,3,15
60,0,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,3,Sales Executive,1,Married,10266,3,22,5,4,18
40,0,Travel_Frequently,580,Sales,5,4,Life Sciences,1,729,4,Male,3,Sales Executive,1,Married,10475,4,20,2,3,18
32,0,Travel_Rarely,859,Research & Development,4,3,Life Sciences,1,830,3,Female,2,Manufacturing Director,3,Married,6162,3,14,3,3,14
41,0,Travel_Rarely,263,Research & Development,6,3,Medical,1,957,4,Male,1,Laboratory Technician,1,Single,4721,3,20,3,3,18
53,0,Travel_Rarely,1376,Sales,2,2,Medical,1,981,3,Male,4,Manager,3,Divorced,14852,3,22,3,4,17
36,1,Travel_Rarely,885,Research & Development,16,4,Life Sciences,1,1042,3,Female,1,Laboratory Technician,1,Single,2743,3,18,1,3,17
46,0,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,1,1080,4,Female,2,Research Scientist,1,Divorced,4615,4,19,2,3,16
38,0,Travel_Rarely,1321,Sales,1,4,Life Sciences,1,1995,4,Male,2,Sales Executive,2,Married,4440,3,16,3,3,15
51,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,3,Healthcare Representative,1,Single,7484,4,23,1,2,13
43,0,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,3,Male,4,Manager,4,Married,16959,3,25,3,4,25
37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,1,Research Scientist,4,Single,2115,3,17,3,3,17
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436,3,Female,2,Sales Executive,2,Married,5228,3,13,2,3,13
38,0,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,1,950,4,Female,3,Research Director,1,Married,13582,3,15,3,3,15
46,0,Travel_Rarely,228,Sales,3,3,Life Sciences,1,1527,3,Female,4,Manager,2,Married,16606,3,23,2,4,13
35,1,Travel_Rarely,737,Sales,10,3,Medical,1,1639,4,Male,3,Sales Executive,1,Married,10306,3,15,3,3,13
43,0,Travel_Rarely,823,Research & Development,6,3,Medical,1,1866,1,Female,5,Manager,3,Married,19392,3,21,2,3,16
56,0,Non-Travel,667,Research & Development,1,4,Life Sciences,1,2026,3,Male,2,Healthcare Representative,3,Divorced,6306,4,13,2,2,13
36,0,Non-Travel,301,Sales,15,4,Marketing,1,2036,4,Male,2,Sales Executive,4,Divorced,5406,4,15,4,2,15
